Genus,species,URL,Primary Research,Environment,Domain,Phylum/Kingdom,Netid,Environment Notes,,
Candidatus,Scalindua,https://microbewiki.kenyon.edu/index.php/Candidatus_Scalindua,Environmental Microbiome,Marine,Bacteria,Planctomycetes,cnkwo,,,
Capnocytophaga,ochracea,https://microbewiki.kenyon.edu/index.php/Capnocytophaga_ochracea,Animal Microbiome,Animal Host ,Bacteria,Bacteriodetes,echo2,human oral cavity,,
Carboxydothermus,hydrogenoformans,https://microbewiki.kenyon.edu/index.php/Carboxydothermus_hydrogenoformans,Environmental Microbiome,Aquatic,Bacteria,Firmicutes,cnkwo,,,
Catenulispora,acidiphila,https://microbewiki.kenyon.edu/index.php/Catenulispora_acidiphila,Environmental Microbiome,Acidophile,Bacteria,Actinobacteria,cekanaya,,,
Catonella,morbi,https://microbewiki.kenyon.edu/index.php/Catonella_morbi,Animal Microbiome,Microbe Host,Bacteria,Firmicutes,cekanaya,,,
Caulobacter,crescentus,https://microbewiki.kenyon.edu/index.php/Caulobacter_crescentus,Animal Microbiome,Aquatic,Bacteria,Proteobacteria,josulli5,the most prevalent organisms adapted solely for survival in nutrient-poor aquatic and marine environments,,
Cenarchaeum,symbiosum,https://microbewiki.kenyon.edu/index.php/Cenarchaeum_symbiosum,Environmental Microbiome,Aquatic,Archaea ,Thaumarchaeota,dmolik,,,
Chlamydia,Pneumoniae,https://microbewiki.kenyon.edu/index.php/Chlamydia_Pneumoniae,Pathogen,Animal Host ,Bacteria,Chlamydiae,pedouard,,,
Chlamydia,muridarum,https://microbewiki.kenyon.edu/index.php/Chlamydia_muridarum,Animal Microbiome,Animal Host ,Bacteria,Chlamydiae,Pedouard,,,
Chlamydia,trachomatis,https://microbewiki.kenyon.edu/index.php/Chlamydia_trachomatis,Pathogen,Animal Host ,Eukaryota,Chlamydiae,gmarines,,,
Chlamydomonas,reinhardtii,https://microbewiki.kenyon.edu/index.php/Chlamydomonas_reinhardtii,Animal Microbiome,Animal Host ,Eukaryota,Chlamydiae,gmarines,,,
Chlamydophila,abortus,https://microbewiki.kenyon.edu/index.php/Chlamydophila_abortus,Animal Microbiome,Animal Host ,Bacteria,Chlamydiae,jklein6,,,
Chlamydophila,caviae,https://microbewiki.kenyon.edu/index.php/Chlamydophila_caviae,Animal Microbiome,Animal Host ,Bacteria,Chlamydiae,jklein6,,,
Chlamydophila,felis,https://microbewiki.kenyon.edu/index.php/Chlamydophila_felis,Animal Microbiome,Animal Host ,Bacteria,Chlamydiae,jklein6,,,
Chlamydophila,pecorum,https://microbewiki.kenyon.edu/index.php/Chlamydophila_pecorum,Animal Microbiome,Animal Host ,Bacteria,Chlamydiae,echo2,infects mainly mammals,,
Chlamydophila,pneumoniae,https://microbewiki.kenyon.edu/index.php/Chlamydophila_pneumoniae,Pathogen,Animal Host ,Bacteria,Chlamydiae,echo2,human hosts around the world,,
Chlamydophila,psittaci,https://microbewiki.kenyon.edu/index.php/Chlamydophila_psittaci,Animal Microbiome,Animal Host ,Bacteria,Chlamydiae,echo2,avian species but can be transmitted to humans,,
Chloracidobacterium,thermophilum,https://microbewiki.kenyon.edu/index.php/Chloracidobacterium_thermophilum,Extremophile,Thermophile,Bacteria,Acidobacteria,mdillon8,Yellowstone hot springs,,
Chlorbium,chlorochromatii,https://microbewiki.kenyon.edu/index.php/Chlorbium_chlorochromatii,Environmental Microbiome,Aquatic,Bacteria,Chlorobi,mdillon8,chemocline,,
Chlorella,vulgaris,https://microbewiki.kenyon.edu/index.php/Chlorella_vulgaris,Bioremediation,Aquatic,Eukaryota,Chlorophyta,mdillon8,,,
Chlorobium,chlorochromatii,https://microbewiki.kenyon.edu/index.php/Chlorobium_chlorochromatii,Environmental Microbiome,Aquatic,Bacteria,Chlorobi,gpetrosi,,,
Chlorobium,ferrooxidans,https://microbewiki.kenyon.edu/index.php/Chlorobium_ferrooxidans,Environmental Microbiome,Aquatic,Bacteria,Chlorobi,gpetrosi,,,
Chlorobium,tepidum,https://microbewiki.kenyon.edu/index.php/Chlorobium_tepidum,Extremophile,Thermophile,Bacteria,Chlorobi,gpetrosi,,,
Chloroflexus,aurantiacus,https://microbewiki.kenyon.edu/index.php/Chloroflexus_aurantiacus,Extremophile,Thermophile,Bacteria,Chloroflexi,gpetrosi,,,
Chromobacterium,violaceum,https://microbewiki.kenyon.edu/index.php/Chromobacterium_violaceum,Fermentation,Soil,Bacteria,Proteobacteria,mdillon8,,,
Chromohalobacter,Salexigens,https://microbewiki.kenyon.edu/index.php/Chromohalobacter_Salexigens,Environmental Microbiome,Halophile,Bacteria,Proteobacteria,dmolik,,,
Chryseobacterium,greenlandense,https://microbewiki.kenyon.edu/index.php/Chryseobacterium_greenlandense,Environmental Microbiome,Aquatic,Bacteria,Bacteroidetes,dmolik,,,
Chryseobacterium,indologenes,https://microbewiki.kenyon.edu/index.php/Chryseobacterium_indologenes,Pathogen,Unknown ,Bacteria,Bacteroidetes,dmolik,,,
Citricoccus,nitrophenolicus,https://microbewiki.kenyon.edu/index.php/Citricoccus_nitrophenolicus,Bioremediation,Unknown ,Bacteria,Acintobacteria,cgreeley,,,
Citrobacter,Rodentium,https://microbewiki.kenyon.edu/index.php/Citrobacter_Rodentium,Misc,Generalist,Bacteria,Proteobacteria,dmolik,,,
Citrobacter,freundii,https://microbewiki.kenyon.edu/index.php/Citrobacter_freundii,Misc,Generalist,Bacteria,Proteobacteria,dmolik,,,
Cladosporium,sphaerospermum,https://microbewiki.kenyon.edu/index.php/Cladosporium_sphaerospermum,Environmental Microbiome,Generalist,Eukaryota,Fungi,dmolik,,,
Clavibacter,michiganensis,https://microbewiki.kenyon.edu/index.php/Clavibacter_michiganensis,Rhizosphere,Plant Host,Bacteria,Actinobacteria,dmolik,,,
Claviceps,purpurea,https://microbewiki.kenyon.edu/index.php/Claviceps_purpurea,Rhizosphere,Plant Host,Eukaryota,Fungi,dmolik,,,
Clostridium,Tagluense,https://microbewiki.kenyon.edu/index.php/Clostridium_Tagluense,Misc,Generalist,Bacteria,Firmicutes,dmolik,,,
Clostridium,acetobutylicum,https://microbewiki.kenyon.edu/index.php/Clostridium_acetobutylicum,Industrial,Generalist,Bacteria,Firmicutes,dmolik,,,
Clostridium,baratii,https://microbewiki.kenyon.edu/index.php/Clostridium_baratii,Pathogen,Soil,Bacteria,Firmicutes,dmolik,,,
Clostridium,botulinum,https://microbewiki.kenyon.edu/index.php/Clostridium_botulinum,Pathogen,Soil,Bacteria,Firmicutes,dmolik,,,
Clostridium,cellulovorans,https://microbewiki.kenyon.edu/index.php/Clostridium_cellulovorans,Industrial,Generalist,Bacteria,Firmicutes,dmolik,,,
Clostridium,difficile,https://microbewiki.kenyon.edu/index.php/Clostridium_difficile,Pathogen,Generalist,Bacteria,Firmicutes,dmolik,,,
Clostridium,glycolicum,https://microbewiki.kenyon.edu/index.php/Clostridium_glycolicum,Pathogen,Generalist,Bacteria,Firmicutes,dmolik,,,
Clostridium,magnum,https://microbewiki.kenyon.edu/index.php/Clostridium_magnum,Industrial,Soil,Bacteria,Firmicutes,dmolik,,,
Clostridium,novyi,https://microbewiki.kenyon.edu/index.php/Clostridium_novyi,Pathogen,Soil,Bacteria,Firmicutes,dmolik,,,
Clostridium,perfringens,https://microbewiki.kenyon.edu/index.php/Clostridium_perfringens,Pathogen,Soil,Bacteria,Firmicutes,qretzlof,environments around 37 celsius ,,
Clostridium,piliforme,https://microbewiki.kenyon.edu/index.php/Clostridium_piliforme,Pathogen,Animal Host ,Bacteria,Firmicutes,dmolik,,,
Clostridium,septicum,https://microbewiki.kenyon.edu/index.php/Clostridium_septicum,Animal Microbiome,Soil,Bacteria,Firmicutes,dmolik,,,
Clostridium,sordellii,https://microbewiki.kenyon.edu/index.php/Clostridium_sordellii,Pathogen,Soil,Bacteria,Firmicutes,dmolik,,,
Clostridium,sporogenes,https://microbewiki.kenyon.edu/index.php/Clostridium_sporogenes,Pathogen,Generalist,Bacteria,Firmicutes,dmolik,,,
Clostridium,tetani,https://microbewiki.kenyon.edu/index.php/Clostridium_tetani,Pathogen,Soil,Bacteria,Firmicutes,dmolik,,,
Clostridium,thermocellum,https://microbewiki.kenyon.edu/index.php/Clostridium_thermocellum,Pathogen,Generalist,Bacteria,Firmicutes,dmolik,,,
Coccidioides,immitis,https://microbewiki.kenyon.edu/index.php/Coccidioides_immitis,Pathogen,Soil,Eukaryota,Fungi,dmolik,,,
Coccidioides,posadasii,https://microbewiki.kenyon.edu/index.php/Coccidioides_posadasii,Pathogen,Soil,Eukaryota,Fungi,dmolik,,,
Collimonas,fungivorans,https://microbewiki.kenyon.edu/index.php/Collimonas_fungivorans,Environmental Microbiome,Soil,Bacteria,Proteobacteria,dmolik,,,
Colwellia,psychrerythraea,https://microbewiki.kenyon.edu/index.php/Colwellia_psychrerythraea,Environmental Microbiome,Marine,Bacteria,Proteobacteria,dmolik,,,
Comamonas,badia,https://microbewiki.kenyon.edu/index.php/Comamonas_badia,Bioremediation,Sediment,Bacteria,Proteobacteria,dmolik,,,
Conidiobolus,coronatus,https://microbewiki.kenyon.edu/index.php/Conidiobolus_coronatus,Environmental Microbiome,Soil,Eukaryota,Fungi,dmolik,,,
Cordyceps,militaris,https://microbewiki.kenyon.edu/index.php/Cordyceps_militaris,Animal Microbiome,Soil,Eukaryota,Fungi,dmolik,,,
Cornebacterium,mastitidis,https://microbewiki.kenyon.edu/index.php/Cornebacterium_mastitidis,Pathogen,Animal Host ,Bacteria,Actinobacteria,dmolik,,,
Corynebacterium,canis,https://microbewiki.kenyon.edu/index.php/Corynebacterium_canis,Pathogen,Unknown ,Bacteria,Actinobacteria,dmolik,,,
Corynebacterium,diphtheriae,https://microbewiki.kenyon.edu/index.php/Corynebacterium_diphtheriae,Pathogen,Animal Host ,Bacteria,Actinobacteria,dmolik,,,
Corynebacterium,efficiens,https://microbewiki.kenyon.edu/index.php/Corynebacterium_efficiens,Pathogen,Soil,Bacteria,Actinobacteria,dmolik,,,
Corynebacterium,glutamicum,https://microbewiki.kenyon.edu/index.php/Corynebacterium_glutamicum,Environmental Microbiome,Soil,Bacteria,Actinobacteria,dmolik,,,
Corynebacterium,granulosum,https://microbewiki.kenyon.edu/index.php/Corynebacterium_granulosum,Pathogen,Animal Host ,Bacteria,Actinobacteria,dmolik,,,
Corynebacterium,jeikeium,https://microbewiki.kenyon.edu/index.php/Corynebacterium_jeikeium,Pathogen,Animal Host ,Bacteria,Actinobacteria,dmolik,,,
Corynebacterium,renale,https://microbewiki.kenyon.edu/index.php/Corynebacterium_renale,Animal Microbiome,Animal Host ,Bacteria,Actinobacteria,dmolik,,,
Coxiella,burnetii,https://microbewiki.kenyon.edu/index.php/Coxiella_burnetii,Animal Microbiome,Animal Host ,Bacteria,Proteobacteria,dmolik,,,
Coxiella,burnetti,https://microbewiki.kenyon.edu/index.php/Coxiella_burnetti,Animal Microbiome,Animal Host ,Bacteria,Proteobacteria,dmolik,,,
Cronartium,ribicola,https://microbewiki.kenyon.edu/index.php/Cronartium_ribicola,Rhizosphere,Plant Host,Eukaryota,Fungi,dmolik,,,
Cryptococcus,gattii,https://microbewiki.kenyon.edu/index.php/Cryptococcus_gattii,Pathogen,Aquatic and Soil,Eukaryota,Fungi,sbibbs,"Soil, both freshwater and saltwater, may also live in man-made objects (i.e. tires)",,
Cryptococcus,neoformans,https://microbewiki.kenyon.edu/index.php/Cryptococcus_neoformans,Pathogen,Generalist,Eukaryota,Fungi,sbibbs,"May be found free-living, in bird (specifically pigeon) excrement, in human hosts, in domestic + wild animals",,
Cryptomonas,ovata,https://microbewiki.kenyon.edu/index.php/Cryptomonas_ovata,Environmental Microbiome,Marine,Eukaryota,Cryptomonadales,sbibbs,"Freshwater environments, coexists with macroinvertebrates + fish, may migrate between water column layers for optimal photosynthesis",,
Cryptosporidium,parvum,https://microbewiki.kenyon.edu/index.php/Cryptosporidium_parvum,Pathogen,Aquatic,Eukaryota,Apicomplexa,sbibbs,Has been found in drinking water sources,,
Cthulhu,macrofasciculumque,https://microbewiki.kenyon.edu/index.php/Cthulhu_macrofasciculumque,Animal Microbiome,Animal Host ,Eukaryota,Metamonada,sbibbs,Found in termite hindguts,,
Cthulu,macrofasciculumque,https://microbewiki.kenyon.edu/index.php/Cthulu_macrofasciculumque,Animal Microbiome,Animal Host ,Eukaryota,Metamonada,sbibbs,Found in termite hindguts,,
Cthylla,microfasciculumque,https://microbewiki.kenyon.edu/index.php/Cthylla_microfasciculumque,Animal Microbiome,Animal Host ,Eukaryota,Metamonada,sbibbs,Found in termite hindguts,,
Cupriavidus,metallidurans,https://microbewiki.kenyon.edu/index.php/Cupriavidus_metallidurans,Bioremediation,Unknown ,Bacteria,Proteobacteria,sbibbs,"Found in industrial sediments/wastes containing high heavy metal concentrations, wastewater factories",,
Cyclospora,cayetanensis,https://microbewiki.kenyon.edu/index.php/Cyclospora_cayetanensis,Pathogen,Unknown ,Eukaryota,Apicomplexa,sbibbs,"Found in contaminated food/water, ingested by humans + lives in gut",,
Cytophaga,flavobacterium,https://microbewiki.kenyon.edu/index.php/Cytophaga_flavobacterium,Rhizosphere,Generalist,Bacteria,Bacteroidetes,sbibbs,"Found in every biosphere, inlcuding plant roots, soil, water, free-living, with animals + plankton",,
Dechloromonas,aromatica,https://microbewiki.kenyon.edu/index.php/Dechloromonas_aromatica,Environmental Microbiome,Sediment,Bacteria,Proteobacteria,Precompleted,soil and water,,
Dehalobacter,restrictus,https://microbewiki.kenyon.edu/index.php/Dehalobacter_restrictus,Bioremediation,Soil,Bacteria,Firmicutes,Precompleted,halogen pollution,,
Dehalococcoides,ethenogenes,https://microbewiki.kenyon.edu/index.php/Dehalococcoides_ethenogenes,Environmental Microbiome,Soil,Bacteria,Chloroflexi,Precompleted,VOC pollution,,
Dehalococcoides,mccartyi,https://microbewiki.kenyon.edu/index.php/Dehalococcoides_mccartyi,Bioremediation,Soil,Bacteria,Chloroflexi,Precompleted,VOC pollution,,
Deinococcus,deserti,https://microbewiki.kenyon.edu/index.php/Deinococcus_deserti,Environmental Microbiome,Generalist,Bacteria,Deinococcus-Thermus,Precompleted,Sahara desert,,
Deinococcus,geothermalis,https://microbewiki.kenyon.edu/index.php/Deinococcus_geothermalis,Bioremediation,Radiophile,Bacteria,Deinococcus-Thermus,Precompleted,"Neutral pH, geothermal",,
Deinococcus,radiodurans,https://microbewiki.kenyon.edu/index.php/Deinococcus_radiodurans,Industrial,Generalist,Bacteria,Deinococcus-Thermus,Precompleted,"withstands radiation, elephant feces",,
Denitrovibrio,acetiphilus,https://microbewiki.kenyon.edu/index.php/Denitrovibrio_acetiphilus,Bioremediation,Marine,Bacteria,Deferribacteres,Precompleted,inhibits SRB,,
Dermabacter,hominis,https://microbewiki.kenyon.edu/index.php/Dermabacter_hominis,Pathogen,Animal host,Bacteria,Actinobacteria,Precompleted,non lethal human ,,
Desmazierella,acicola,https://microbewiki.kenyon.edu/index.php/Desmazierella_acicola,Environmental Microbiome,Plant host,Eukarya,Ascomycota,Precompleted,pine needle litter,,
Desulfatibacillum,alkenivorans,https://microbewiki.kenyon.edu/index.php/Desulfatibacillum_alkenivorans,Bioremediation,Sediment,Bacteria,Proteobacteria,Precompleted,saline sediment,,
Desulfitobacterium,hafniense,https://microbewiki.kenyon.edu/index.php/Desulfitobacterium_hafniense,Bioremediation,Sediment,Bacteria,Proteobacteria,Precompleted,sediment,,
Desulfobacter,hydrogenophilus,https://microbewiki.kenyon.edu/index.php/Desulfobacter_hydrogenophilus,Misc,Sediment,Bacteria,Proteobacteria,Precompleted,sediment,,
Desulfohalophilus,alkaliarsenatis,https://microbewiki.kenyon.edu/index.php/Desulfohalophilus_alkaliarsenatis,Environmental Microbiome,Saline,Bacteria,Proteobacteria,Precompleted,sediment,,
Desulfomonile,tiedjei,https://microbewiki.kenyon.edu/index.php/Desulfomonile_tiedjei,Bioremediation,Sediment,Bacteria,Proteobacteria,Precompleted,sewage sludge,,
Desulfonatronovibrio,hydrogenovorans,https://microbewiki.kenyon.edu/index.php/Desulfonatronovibrio_hydrogenovorans,Environmental Microbiome,Alkaliphile,Bacteria,Proteobacteria,Precompleted,alkalinity,,
Desulfonema,limicola,https://microbewiki.kenyon.edu/index.php/Desulfonema_limicola,Environmental Microbiome,Sediment,Bacteria,Proteobacteria,Precompleted,sediment,,
Desulforudis,audaxviator,https://microbewiki.kenyon.edu/index.php/Desulforudis_audaxviator,Environmental Microbiome,Caves/Mine Drainage,Bacteria,Firmicutes,Precompleted,sediment,,
Desulfotalea,psychrophila,https://microbewiki.kenyon.edu/index.php/Desulfotalea_psychrophila,Environmental Microbiome,Sediment,Bacteria,Proteobacteria,Precompleted,cold marine sediment,,
Desulfovibrio,desulfuricans,https://microbewiki.kenyon.edu/index.php/Desulfovibrio_desulfuricans,Misc,Sediment,Bacteria,Proteobacteria,Precompleted,sediment,,
Desulfovibrio,vulgaris,https://microbewiki.kenyon.edu/index.php/Desulfovibrio_vulgaris,Bioremediation,General,Bacteria,Proteobacteria,Precompleted,ebrywhere,,
Desulfurococcus,mobilis,https://microbewiki.kenyon.edu/index.php/Desulfurococcus_mobilis,Environmental Microbiome,Thermoacidophile,Archea,Crenarchaeota,Precompleted,">97C, <2.2pH",,
Desulfuromonas,acetoxidans,https://microbewiki.kenyon.edu/index.php/Desulfuromonas_acetoxidans,Environmental Microbiome,Thermophile,Bacteria,Proteobacteria,Precompleted,fresh and marine sediment,,
Dialister,invisus,https://microbewiki.kenyon.edu/index.php/Dialister_invisus,Pathogen,Animal host,Bacteria,Firmicutes,Precompleted,dental,,
Dictyoglomus,thermophilum,https://microbewiki.kenyon.edu/index.php/Dictyoglomus_thermophilum,Environmental Microbiome,Thermophile,Bacteria,Dictyoglomi,Precompleted,78C,,
Dientamoeba,fragilis,https://microbewiki.kenyon.edu/index.php/Dientamoeba_fragilis,Pathogen,Animal host,Eukarya,Parabasalia,Precompleted,instinal parasite,,
Dietzia,cinnamea,https://microbewiki.kenyon.edu/index.php/Dietzia_cinnamea,Environmental Microbiome,Unknown,Bacteria,Actinobacteria,Precompleted,two samples,,
Dirofilaria,immitis,https://microbewiki.kenyon.edu/index.php/Dirofilaria_immitis,Pathogen,Animal host,Eukarya,Nematoda,Precompleted,wolbachia assc. canine heartworm,,
Dunaliella,acidophila,https://microbewiki.kenyon.edu/index.php/Dunaliella_acidophila,Environmental Microbiome,Thermoacidophile,Eukarya,Chlorophyta,Precompleted,salt lakes,,
Dunaliella,salina,https://microbewiki.kenyon.edu/index.php/Dunaliella_salina,Environmental Microbiome,Halophile,Eukarya,Chlorophyta,Precompleted,salt lakes,,
Edwardsiella,tarda,https://microbewiki.kenyon.edu/index.php/Edwardsiella_tarda,Animal Microbiome,Animal host,Bacteria,Proteobacteria,mmurphy6,"freshwater, animal gut",,
Ehrlichia,canis,https://microbewiki.kenyon.edu/index.php/Ehrlichia_canis,Pathogen,Animal Host ,Bacteria,Proteobacteria,mmurphy6,tick transmission,,
Ehrlichia,chaffeensis,https://microbewiki.kenyon.edu/index.php/Ehrlichia_chaffeensis,Pathogen,Animal Host ,Bacteria,Proteobacteria,charrin3,,,
Eikenella,corrodens,https://microbewiki.kenyon.edu/index.php/Eikenella_corrodens,Pathogen,Animal Host ,Bacteria,Proteobacteria,charrin3,,,
Elizabethkingia,anophelis,https://microbewiki.kenyon.edu/index.php/Elizabethkingia_anophelis,Pathogen,Animal Host ,Bacteria,Bacteroidete,charrin3,,,
Elizabethkingia,meningoseptica,https://microbewiki.kenyon.edu/index.php/Elizabethkingia_meningoseptica,Pathogen,Soil,Bacteria,Bacterioidete,charrin3,,,
Encephalitozoon,hellem,https://microbewiki.kenyon.edu/index.php/Encephalitozoon_hellem,Pathogen,Animal Host ,Eukaryota,Microsporidia,charrin3,,,
Endomycorrhizal,fungi,https://microbewiki.kenyon.edu/index.php/Endomycorrhizal_fungi,Rhizosphere,Soil,Eukaryota,Glomeromycota,charrin3,,,
Entamoeba,histolytica,https://microbewiki.kenyon.edu/index.php/Entamoeba_histolytica,Pathogen,Animal Host ,Eukaryota,Amoebozoa,jcolucci,animal host,,
Enterobacter,aerogenes,https://microbewiki.kenyon.edu/index.php/Enterobacter_aerogenes,Environmental Microbiome,Generalist,Bacteria,Proteobacteria,jcolucci,"Soil, water, animals",,
Enterobacter,asburiae,https://microbewiki.kenyon.edu/index.php/Enterobacter_asburiae,Environmental Microbiome,Microbe Host,Bacteria,Proteobacteria,jcolucci,Human microbiome,,
Enterobacter,cloacae,https://microbewiki.kenyon.edu/index.php/Enterobacter_cloacae,Environmental Microbiome,Unknown ,Bacteria,Proteobacteria,sbibbs,"Mesophilic environments, infect humans",,
Enterobacter,sakazakii,https://microbewiki.kenyon.edu/index.php/Enterobacter_sakazakii,Pathogen,Unknown ,Bacteria,Proteobacteria,sbibbs,"Infects food, though not much is known about ""natural habitat""",,
Enterococcus,Avium,https://microbewiki.kenyon.edu/index.php/Enterococcus_Avium,Pathogen,Animal Host ,Bacteria,Firmicutes,sbibbs,Human digestive + urinary tracts,,
Enterococcus,faecalis,https://microbewiki.kenyon.edu/index.php/Enterococcus_faecalis,Extremophile,Generalist,Bacteria,Firmicutes,sbibbs,"Soil, water, plants, food manufacturing plants",,
Enterococcus,faecium,https://microbewiki.kenyon.edu/index.php/Enterococcus_faecium,Pathogen,Animal Host ,Bacteria,Firmicutes,sbibbs,"Gastrointestinal tract, oral cavity, vaginal tract, can survive in a range of temperatures and pH levels",,
Enterococcus,solitarius,https://microbewiki.kenyon.edu/index.php/Enterococcus_solitarius,Extremophile,Animal Host ,Bacteria,Firmicutes,sbibbs,Feces,,
Enterorhabdus,mucosicola,https://microbewiki.kenyon.edu/index.php/Enterorhabdus_mucosicola,Animal Microbiome,Animal Host ,Bacteria,Actinobacteria,sbibbs,Mammalian intestines,,
Epulopiscium,fishelsoni,https://microbewiki.kenyon.edu/index.php/Epulopiscium_fishelsoni,Animal Microbiome,Animal Host ,Bacteria,Firmicutes,sbibbs,Surgeonfish gut/intestines,,
Erwinia,amylovora,https://microbewiki.kenyon.edu/index.php/Erwinia_amylovora,Pathogen,Plant Host,Bacteria,Proteobacteria,sbibbs,"Roseaceae family plants (pears, apples, etc.), mainly in Northern Hemisphere + NZ",,
Erwinia,carotovora,https://microbewiki.kenyon.edu/index.php/Erwinia_carotovora,Misc,Generalist,Bacteria,Proteobacteria,sbibbs,"Variety of vegetables + plants, soil, insect guts, water, suspended aerosols",,
Erythrobacter,Litoralis,https://microbewiki.kenyon.edu/index.php/Erythrobacter_Litoralis,Bioremediation,Marine,Bacteria,Proteobacteria,sbibbs,"Coastal salt seawater, specifically the Sargasso Sea, only grow under aerobic conditions",,
Escherichia,albertii,https://microbewiki.kenyon.edu/index.php/Escherichia_albertii,Pathogen,Animal Host ,Bacteria,Proteobacteria,sbibbs,"Food-borne, found in human, bird, cat, and pig hosts",,
Escherichia,coli,https://microbewiki.kenyon.edu/index.php/Escherichia_coli,Pathogen,Animal Host ,Bacteria,Proteobacteria,sbibbs,"Animal feces/lower intestines, hot springs",,
Eubacterium,Nodatum,https://microbewiki.kenyon.edu/index.php/Eubacterium_Nodatum,Pathogen,Animal Host ,Bacteria,Firmicutes,sbibbs,Peri-implant sites (around teeth in patients with periodontitis),,
Eugena,mutabilis,https://microbewiki.kenyon.edu/index.php/Eugena_mutabilis,Extremophile,Aquatic,Eukaryota,Euglenozoa,sbibbs,"Fresh + saltwater, specifically inland waters (ponds)",,
Euglena,mutabilis,https://microbewiki.kenyon.edu/index.php/Euglena_mutabilis,Extremophile,Acidophile,Eukaryota,"Euglenophycota-euglenoids, euglenes",sbibbs,Landlocked aquatic environments,,
Euglena,sanguinea,https://microbewiki.kenyon.edu/index.php/Euglena_sanguinea,Environmental Microbiome,Aquatic,Eukaryota,Euglenozoa,sbibbs,Freshwater,,
Exiguobacterium,sibiricum,https://microbewiki.kenyon.edu/index.php/Exiguobacterium_sibiricum,Extremophile,Aquatic and Soil,Bacteria,Firmicutes,gpetrosi,psychrophiles,,
Ferroglobus,placidus,https://microbewiki.kenyon.edu/index.php/Ferroglobus_placidus,Environmental Microbiome,Thermophile,Archaea ,Euryarchaeota,sbibbs,Submarine hypothermal vents,,
Ferroplasma,acidarmanus,https://microbewiki.kenyon.edu/index.php/Ferroplasma_acidarmanus,Extremophile,Caves/Mine Drainage,Archaea ,Euryarchaeota,sbibbs,Streams draining iron mines,,
Ferroplasma,acidiphilum,https://microbewiki.kenyon.edu/index.php/Ferroplasma_acidiphilum,Extremophile,Caves/Mine Drainage,Archaea ,Euryarchaeota,sbibbs,"Metal-heavy, acidic",,
Ferroplasma,cyprexacervatum,https://microbewiki.kenyon.edu/index.php/Ferroplasma_cyprexacervatum,Misc,Acidophile,Archaea ,Euryarchaeota,sbibbs,Bioleach heaps,,
Filifactor,alocis,https://microbewiki.kenyon.edu/index.php/Filifactor_alocis,Pathogen,Unknown ,Bacteria,Firmicutes,sbibbs,Oral cavity,,
Flavobacterium,Marinum,"https://microbewiki.kenyon.edu/index.php/Flavobacterium_Marinum
",Pathogen,Saline ,Bacteria,Bacteroidetes,sbibbs,"Soil, fresh + saltwater, arctic",,
Flavobacterium,Marinus,https://microbewiki.kenyon.edu/index.php/Flavobacterium_Marinus,Pathogen,Saline ,Bacteria,Bacteroidetes,sbibbs,"Soil, fresh + saltwater, arctic",,
Flavobacterium,denitrificans,https://microbewiki.kenyon.edu/index.php/Flavobacterium_denitrificans,Animal Microbiome,Soil,Bacteria,Bacteroidetes,sbibbs,"Soil, earthworm digestive system",,
Flavobacterium,hibernum,https://microbewiki.kenyon.edu/index.php/Flavobacterium_hibernum,Environmental Microbiome,Aquatic and Soil,Bacteria,Bacteroidetes,sbibbs,"Freshwater, ice, soil, nutrient-poor water",,
Flavobacterium,marinum,https://microbewiki.kenyon.edu/index.php/Flavobacterium_marinum,Pathogen,Saline ,Bacteria,Bacteroidetes,sbibbs,"Soil, fresh + saltwater, arctic",,
Flavobacterium,psychrophilum,https://microbewiki.kenyon.edu/index.php/Flavobacterium_psychrophilum,Misc,Aquatic,Bacteria,Bacteroidetes,sbibbs,Cold freshwater,,
Francisella,noatunensis,https://microbewiki.kenyon.edu/index.php/Francisella_noatunensis,Pathogen,Microbe Host,Bacteria,Proteobacteria,sbibbs,"Water-dwelling protist host, fresh + saltwater",,
Francisella,tularensis,https://microbewiki.kenyon.edu/index.php/Francisella_tularensis,Pathogen,Generalist,Bacteria,Proteobacteria,sbibbs,"Water, soil, animal carcasses",,
Frankia,alni,https://microbewiki.kenyon.edu/index.php/Frankia_alni,Rhizosphere,Plant Host,Bacteria,Actinobacteria,sbibbs,Actinorhizal plants,,
Fremyella,diplosiphon,https://microbewiki.kenyon.edu/index.php/Fremyella_diplosiphon,Environmental Microbiome,Aquatic,Bacteria,Cyanobacteria,sbibbs,Freshwater,,
Fusarium,graminearum,https://microbewiki.kenyon.edu/index.php/Fusarium_graminearum,Rhizosphere,Soil,Eukaryota,Ascomycota,Precompleted,,,
Fusarium,oxysporum,https://microbewiki.kenyon.edu/index.php/Fusarium_oxysporum,Rhizosphere,Soil,Eukaryota,Ascomycota,Precompleted,,,
Fusarium,venenatum,https://microbewiki.kenyon.edu/index.php/Fusarium_venenatum,Rhizosphere,Soil,Eukaryota,Ascomycota,Precompleted,"Soil, potent mycotoxins",,
Fusobacterium,nucleatum,https://microbewiki.kenyon.edu/index.php/Fusobacterium_nucleatum,Pathogen,Animal host,Bacteria,Fusobacteria,Precompleted,dental plaque and gum disease,,
Galdieria,sulphuraria,https://microbewiki.kenyon.edu/index.php/Galdieria_sulphuraria,Extremophile,Thermoacidophile,Eukaryota,Rhodophyta,sbibbs,"Hot sulfur springs, high heavy metal concentrations",,
